time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-02T01:46:04.070Z,19.3331667,-155.1338333,3.19,2.55,ml,30,115,0.04727,0.11,hv,hv70754306,2019-01-02T21:51:21.040Z,"15km SE of Volcano, Hawaii",earthquake,0.32,0.93,0.165,33,reviewed,hv,hv
2019-01-02T01:40:46.170Z,36.4507,-96.8813,5.4,3.2,ml,,73,,0.23,us,us2000izra,2019-01-02T23:44:12.040Z,"14km NNW of Pawnee, Oklahoma",earthquake,1.4,2.7,0.223,23,reviewed,ok,ok
2019-01-02T01:22:45.320Z,18.8945,-64.7678,42,3.09,md,5,344,1.3171,0.47,pr,pr2019002001,2019-01-02T21:46:28.040Z,"52km N of Road Town, British Virgin Islands",earthquake,7.43,27.4,0.18,4,reviewed,pr,pr
2019-01-02T00:41:36.180Z,36.3699989,-121.4905014,7.72,2.81,md,59,117,0.05257,0.12,nc,nc73129231,2019-01-03T11:04:25.761Z,"16km SSW of Gonzales, CA",earthquake,0.27,0.58,0.14,60,automatic,nc,nc
2019-01-01T23:46:04.080Z,36.8110008,-121.5358353,4.61,2.57,md,40,45,0.0309,0.08,nc,nc73129226,2019-01-04T04:42:27.102Z,"4km S of San Juan Bautista, CA",earthquake,0.18,0.3,0.13,42,automatic,nc,nc
2019-01-01T22:59:54.880Z,40.8868332,-123.4974976,20.31,3.41,ml,50,38,0.1787,0.39,nc,nc73129211,2019-01-04T02:23:33.781Z,"13km ESE of Willow Creek, CA",earthquake,0.71,1.68,0.305,13,automatic,nc,nc
2019-01-01T22:39:21.290Z,26.3092,-110.7108,10,4.1,mb,,142,1.698,1.17,us,us2000izqm,2019-01-03T06:45:14.040Z,"71km ENE of Loreto, Mexico",earthquake,5.5,1.9,0.234,5,reviewed,us,us
2019-01-01T22:05:39.690Z,35.742,140.1849,69.86,4.4,mb,,159,1.792,0.57,us,us2000izq7,2019-01-03T06:38:52.040Z,"5km WNW of Sakura, Japan",earthquake,6.5,9,0.117,21,reviewed,us,us
2019-01-01T21:47:43.580Z,18.4648,-68.4693,116,2.94,md,5,182,0.1007,0.5,pr,pr2019001007,2019-01-03T06:29:06.040Z,"25km SSE of Boca de Yuma, Dominican Republic",earthquake,10.09,3.55,0.48,4,reviewed,pr,pr
2019-01-01T20:24:36.150Z,-2.472,99.6263,10,5.1,mb,,123,3.816,1.17,us,us2000izpf,2019-01-02T19:18:48.040Z,"107km SSE of Muara Siberut, Indonesia",earthquake,7.5,1.8,0.064,78,reviewed,us,us
